"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"1","0.000000","10.0.1.100","10.0.0.100","TCP","74","74","47499  >  1883 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2897368873 TSecr=0 WS=512"
"2","0.003198","10.0.0.100","10.0.1.100","TCP","74","74","1883  >  47499 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=690294256 TSecr=2897368873 WS=512"
"3","0.003217","10.0.1.100","10.0.0.100","TCP","66","66","47499  >  1883 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2897368877 TSecr=690294256"
"4","0.003388","10.0.1.100","10.0.0.100","MQTT","80","80","Connect Command"
"5","0.005255","10.0.0.100","10.0.1.100","TCP","66","66","1883  >  47499 [ACK] Seq=1 Ack=15 Win=43520 Len=0 TSval=690294258 TSecr=2897368877"
"6","0.005264","10.0.1.100","10.0.0.100","MQTT","92","92","Publish Message [test/topic]"
"7","0.007457","10.0.0.100","10.0.1.100","TCP","66","66","1883  >  47499 [ACK] Seq=1 Ack=41 Win=43520 Len=0 TSval=690294260 TSecr=2897368879"
"8","0.007656","10.0.0.100","10.0.1.100","MQTT","70","70","Connect Ack"
"9","0.007661","10.0.1.100","10.0.0.100","TCP","66","66","47499  >  1883 [ACK] Seq=41 Ack=5 Win=42496 Len=0 TSval=2897368881 TSecr=690294262"
"10","3.006651","10.0.1.100","10.0.0.100","MQTT","92","92","Publish Message [test/topic]"
"11","3.047720","10.0.0.100","10.0.1.100","TCP","66","66","1883  >  47499 [ACK] Seq=5 Ack=67 Win=43520 Len=0 TSval=690297302 TSecr=2897371880"
"12","3.359679","fe80::cc51:60ff:febc:752d","ff02::2","ICMPv6","70","70","Router Solicitation from ce:51:60:bc:75:2d"
"13","6.009895","10.0.1.100","10.0.0.100","MQTT","92","92","Publish Message [test/topic]"
"14","6.009959","10.0.0.100","10.0.1.100","TCP","66","66","1883  >  47499 [ACK] Seq=5 Ack=93 Win=43520 Len=0 TSval=690300264 TSecr=2897374883"
"15","7.252160","10.0.1.100","10.0.0.100","TCP","74","74","50518  >  9092 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2897376125 TSecr=0 WS=512"
"16","7.255337","10.0.0.100","10.0.1.100","TCP","74","74","9092  >  50518 [SYN, ACK] Seq=0 Ack=1 Win=43440 Len=0 MSS=1460 SACK_PERM TSval=690301508 TSecr=2897376125 WS=512"
