"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"1","0.000000","02:42:ac:11:00:05","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.5"
"2","0.000090","02:42:cf:07:09:94","02:42:ac:11:00:05","ARP","42","42","172.17.0.1 is at 02:42:cf:07:09:94"
"3","0.000093","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0x7d56 A test.rebex.net"
"4","0.000138","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0x0e49 AAAA test.rebex.net"
"5","0.003347","02:42:ac:11:00:06","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.6"
"6","0.028045","10.248.16.30","172.17.0.5","DNS","90","90","Standard query response 0x7d56 A test.rebex.net A 194.108.117.16"
"7","0.028217","10.248.16.30","172.17.0.5","DNS","126","126","Standard query response 0x0e49 AAAA test.rebex.net SOA ns.rebex.cz"
"8","0.028343","172.17.0.5","10.248.16.30","DNS","74","74","Standard query 0xe664 A test.rebex.net"
"9","0.030415","10.248.16.30","172.17.0.5","DNS","90","90","Standard query response 0xe664 A test.rebex.net A 194.108.117.16"
"10","0.030455","172.17.0.5","194.108.117.16","TCP","74","74","54314  >  22 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=3294841229 TSecr=0 WS=512"
"11","0.048406","194.108.117.16","172.17.0.5","TCP","74","74","22  >  54314 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM TSval=494178570 TSecr=3294841229"
"12","0.048423","172.17.0.5","194.108.117.16","TCP","66","66","54314  >  22 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=3294841247 TSecr=494178570"
"13","0.049423","172.17.0.5","194.108.117.16","SSHv2","90","90","Client: Protocol (SSH-2.0-paramiko_3.4.0)"
"14","0.066413","194.108.117.16","172.17.0.5","SSHv2","95","95","Server: Protocol (SSH-2.0-RebexSSH_5.0.8606.0)"
"15","0.066423","172.17.0.5","194.108.117.16","TCP","66","66","54314  >  22 [ACK] Seq=25 Ack=30 Win=42496 Len=0 TSval=3294841265 TSecr=494178584"
"16","0.067818","194.108.117.16","172.17.0.5","SSHv2","1074","1074","Server: Key Exchange Init"
"17","0.067825","172.17.0.5","194.108.117.16","SSHv2","1266","1266","Client: Key Exchange Init"
"18","0.098646","02:42:ac:11:00:09","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.9"
"19","0.132235","194.108.117.16","172.17.0.5","TCP","66","66","22  >  54314 [ACK] Seq=1038 Ack=1225 Win=2096896 Len=0 TSval=494178654 TSecr=3294841267"
"20","0.132246","172.17.0.5","194.108.117.16","SSHv2","114","114","Client: Elliptic Curve Diffie-Hellman Key Exchange Init"
"21","0.150561","194.108.117.16","172.17.0.5","SSHv2","258","258","Server: Elliptic Curve Diffie-Hellman Key Exchange Reply"
"22","0.150574","194.108.117.16","172.17.0.5","SSHv2","82","82","Server: New Keys"
