"No.","Time","Source","Destination","Protocol","Length","Frame length on the wire","Info"
"1","0.000000","02:42:ac:11:00:05","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.5"
"2","0.003273","02:42:ac:11:00:06","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.6"
"3","0.098519","02:42:ac:11:00:09","Broadcast","ARP","42","42","Who has 172.17.0.1? Tell 172.17.0.9"
"4","0.098595","02:42:cf:07:09:94","02:42:ac:11:00:09","ARP","42","42","172.17.0.1 is at 02:42:cf:07:09:94"
"5","0.098597","172.17.0.9","10.248.16.30","DNS","82","82","Standard query 0xa7c8 A streaming.poliradio.it"
"6","0.098631","172.17.0.9","10.248.16.30","DNS","82","82","Standard query 0x11ce AAAA streaming.poliradio.it"
"7","0.100540","10.248.16.30","172.17.0.9","DNS","98","98","Standard query response 0xa7c8 A streaming.poliradio.it A 131.175.119.97"
"8","0.140408","10.248.16.30","172.17.0.9","DNS","137","137","Standard query response 0x11ce AAAA streaming.poliradio.it SOA dns110.ovh.net"
"9","0.140597","172.17.0.9","131.175.119.97","TCP","74","74","38882  >  443 [SYN] Seq=0 Win=42340 Len=0 MSS=1460 SACK_PERM TSval=2960837939 TSecr=0 WS=512"
"10","0.142384","131.175.119.97","172.17.0.9","TCP","74","74","443  >  38882 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=2369291405 TSecr=2960837939 WS=128"
"11","0.142404","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=1 Ack=1 Win=42496 Len=0 TSval=2960837940 TSecr=2369291405"
"12","0.266057","172.17.0.9","131.175.119.97","TLSv1.3","470","470","Client Hello (SNI=streaming.poliradio.it)"
"13","0.268101","131.175.119.97","172.17.0.9","TCP","66","66","443  >  38882 [ACK] Seq=1 Ack=405 Win=64768 Len=0 TSval=2369291530 TSecr=2960838064"
"14","0.270881","131.175.119.97","172.17.0.9","TLSv1.3","1514","1514","Server Hello, Change Cipher Spec, Application Data"
"15","0.270889","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=405 Ack=1449 Win=42496 Len=0 TSval=2960838069 TSecr=2369291533"
"16","0.270951","131.175.119.97","172.17.0.9","TCP","1514","1514","443  >  38882 [ACK] Seq=1449 Ack=405 Win=64768 Len=1448 TSval=2369291533 TSecr=2960838064 [TCP segment of a reassembled PDU]"
"17","0.270960","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=405 Ack=2897 Win=41984 Len=0 TSval=2960838069 TSecr=2369291533"
"18","0.270962","131.175.119.97","172.17.0.9","TLSv1.3","1266","1266","Application Data"
"19","0.270965","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=405 Ack=4097 Win=40960 Len=0 TSval=2960838069 TSecr=2369291533"
"20","0.270966","131.175.119.97","172.17.0.9","TLSv1.3","159","159","Application Data, Application Data"
"21","0.270970","172.17.0.9","131.175.119.97","TCP","66","66","38882  >  443 [ACK] Seq=405 Ack=4190 Win=40960 Len=0 TSval=2960838069 TSecr=2369291533"
"22","0.272164","172.17.0.9","131.175.119.97","TLSv1.3","72","72","Change Cipher Spec"
