No.,Time,Source,Destination,Protocol,Length,Frame length on the wire,Info
12,0.694419,172.17.0.10,142.251.209.14,TLSv1.3,583,583,Client Hello (SNI=www.youtube.com)
35,0.827504,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
50,0.830066,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
65,0.840818,142.251.209.14,172.17.0.10,TLSv1.3,106,106,Application Data
79,0.910416,142.251.209.14,172.17.0.10,TLSv1.3,651,651,Application Data
93,0.919294,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
106,0.921624,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
117,0.923404,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
131,1.306437,142.251.209.14,172.17.0.10,TLSv1.3,360,360,Application Data
146,1.312579,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
161,1.321284,142.251.209.14,172.17.0.10,TLSv1.3,655,655,Application Data
176,1.341039,142.251.209.14,172.17.0.10,TLSv1.3,510,510,Application Data
191,1.473775,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
204,1.532812,142.251.209.14,172.17.0.10,TLSv1.3,1466,1466,Application Data
228,1.602381,142.250.180.174,172.17.0.10,TLSv1.3,1313,1313,Application Data
254,1.988418,193.206.135.76,172.17.0.10,TLSv1.3,829,829,Application Data
368,2.039039,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
524,2.053574,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
687,2.059359,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
821,2.062001,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
986,2.064939,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1153,2.067448,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1310,2.069135,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1480,2.070532,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1634,2.071933,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1780,2.073332,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
1947,2.074692,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
2118,2.076093,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
2282,2.078091,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
2431,2.100487,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
2583,2.101883,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Application Data
2724,2.103027,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2746,2.103182,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2766,2.103282,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2786,2.103385,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2806,2.103532,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2828,2.10368,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2852,2.10379,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2872,2.103932,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2892,2.104036,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2914,2.104184,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2934,2.104331,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2956,2.104437,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,"[TCP Previous segment not captured] , Continuation Data"
2976,2.104586,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
2996,2.104685,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3016,2.104831,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3070,2.105135,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3090,2.105281,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3112,2.10539,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3134,2.105534,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3154,2.105637,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3212,2.106097,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3232,2.107047,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3252,2.107247,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3272,2.107477,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3294,2.107839,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3314,2.107985,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3334,2.108089,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3354,2.108235,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3374,2.108342,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3394,2.108445,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3414,2.108588,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3434,2.108691,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3454,2.109172,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3474,2.109384,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3502,2.10954,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3522,2.109684,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3542,2.10979,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3562,2.109894,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3582,2.110036,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3622,2.110289,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3656,2.110484,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3728,2.110937,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3750,2.111085,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3810,2.111437,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
3906,2.112042,193.206.135.76,172.17.0.10,TLSv1.3,1514,1514,Continuation Data
